,time,p_loss,v_loss,steps
0,0.0,-1.0625,1.109375,10
1,0.01433,-1.0390625,1.0625,11
2,0.02912,-0.9921875,0.9765625,11
3,0.06346,-1.0703125,1.0625,31
4,0.07794,-0.96484375,0.91015625,14
5,0.09266,-0.9375,0.87109375,11
6,0.1122,-0.9765625,0.9296875,18
7,0.1352,-0.9765625,0.921875,21
8,0.14746,-0.93359375,0.85546875,11
9,0.19067,-0.984375,0.8359375,40
10,0.21553,-0.9453125,0.87890625,17
11,0.22928,-0.875,0.7578125,10
12,0.2517,-0.859375,0.71875,18
13,0.27186,-0.87890625,0.75390625,20
14,0.3035,-0.8671875,0.69921875,27
15,0.32014,-0.8671875,0.74609375,13
16,0.33143,-0.7890625,0.6171875,11
17,0.35166,-0.859375,0.7265625,18
18,0.38483,-0.890625,0.75390625,30
19,0.40716,-0.859375,0.71875,20
20,0.42682,-0.8515625,0.69921875,19
21,0.45533,-0.7578125,0.546875,25
22,0.47635,-0.6796875,0.4453125,19
23,0.51628,-0.80078125,0.5859375,37
24,0.55309,-0.65625,0.390625,32
25,0.58231,-0.7265625,0.51171875,26
26,0.59834,-0.6015625,0.357421875,16
27,0.61593,-0.640625,0.40625,17
28,0.62823,-0.6484375,0.416015625,11
29,0.64036,-0.65625,0.42578125,11
30,0.65444,-0.76171875,0.57421875,14
31,0.68341,-0.58984375,0.337890625,27
32,0.70906,-0.734375,0.5234375,25
33,0.73276,-0.578125,0.330078125,20
34,0.75943,-0.6015625,0.3515625,24
35,0.77561,-0.640625,0.400390625,14
36,0.81726,-0.52734375,0.25390625,39
37,0.84012,-0.6953125,0.478515625,20
38,0.85378,-0.5390625,0.291015625,13
39,0.87126,-0.33984375,0.11572265625,16
40,0.88447,-0.6484375,0.416015625,13
41,0.90259,-0.453125,0.2021484375,18
42,0.92966,-0.6953125,0.478515625,24
43,0.95673,-0.59375,0.34375,26
44,0.98816,-0.6875,0.462890625,28
45,1.05486,-0.578125,0.1982421875,65
46,1.11555,-0.51953125,0.2275390625,58
47,1.1397,-0.5078125,0.2578125,22
48,1.20146,-0.0625,1.52587890625e-05,58
49,1.21764,-0.2890625,0.08349609375,13
50,1.24163,-0.27734375,0.0771484375,23
51,1.2568,-0.36328125,0.1318359375,14
52,1.29275,-0.55078125,0.298828125,34
53,1.30593,-0.234375,0.054931640625,13
54,1.32174,-0.4140625,0.171875,15
55,1.36376,-0.57421875,0.326171875,41
56,1.38564,-0.25,0.0625,19
57,1.40919,-0.3828125,0.146484375,23
58,1.424,-0.515625,0.265625,13
59,1.43871,-0.40234375,0.162109375,13
60,1.47812,-0.359375,0.1259765625,36
61,1.49123,-0.11328125,0.0128173828125,13
62,1.50426,-0.3125,0.09765625,12
63,1.5194,-0.40234375,0.162109375,15
64,1.53443,-0.1484375,0.02197265625,14
65,1.54758,-0.0859375,0.00738525390625,13
66,1.58608,-0.46875,0.2158203125,37
67,1.6209,-0.234375,0.05322265625,34
68,1.63568,-0.4609375,0.212890625,14
69,1.65933,-0.47265625,0.2236328125,20
70,1.68125,-0.2890625,0.08349609375,20
71,1.70176,-0.2578125,0.06640625,19
72,1.76087,-0.38671875,0.146484375,57
73,1.77189,-0.0859375,0.00738525390625,11
74,1.7864,-0.328125,0.107421875,14
75,1.84882,-0.01171875,0.00152587890625,59
76,1.86163,-0.44140625,0.1953125,10
77,1.87543,-0.24609375,0.060546875,13
78,1.90726,-0.4609375,0.212890625,31
79,1.9227,-0.3671875,0.134765625,13
80,1.93706,-0.15234375,0.023193359375,12
81,1.95846,-0.328125,0.107421875,20
82,1.97057,-0.515625,0.265625,11
83,1.98635,-0.32421875,0.10498046875,16
84,2.01882,-0.05859375,0.0034332275390625,31
85,2.03162,-0.21484375,0.046142578125,11
86,2.06522,-0.44921875,0.2021484375,32
87,2.08539,-0.2890625,0.08349609375,20
88,2.09839,-0.359375,0.12890625,13
89,2.12256,-0.203125,0.041259765625,21
90,2.15154,-0.30859375,0.0927734375,25
91,2.16924,-0.38671875,0.146484375,17
92,2.20836,-0.294921875,0.08349609375,38
93,2.25187,-0.1015625,0.009521484375,40
94,2.29047,-0.390625,0.15234375,38
95,2.31495,-0.21875,0.0478515625,21
96,2.34949,-0.25,0.0625,32
97,2.37097,-0.1171875,0.01373291015625,20
98,2.38699,-0.359375,0.12890625,13
99,2.39791,-0.0859375,0.00738525390625,10
100,2.41601,-0.125,0.015625,16
101,2.47549,-0.0859375,0.00494384765625,57
102,2.49186,-0.48046875,0.23046875,15
103,2.50781,-0.42578125,0.181640625,14
104,2.52985,-0.421875,0.177734375,20
105,2.54673,-0.22265625,0.049560546875,15
106,2.55894,-0.1171875,0.01373291015625,12
107,2.57242,0.2421875,0.05859375,12
108,2.58736,-0.2890625,0.08349609375,14
109,2.59926,-0.1171875,0.01373291015625,12
