,time,p_loss,v_loss,steps
0,0.0,-0.74072265625,0.54345703125,23
1,0.07537,-0.64892578125,0.318603515625,18
2,0.12114,-0.249755859375,0.006103515625,11
3,0.18318,-0.198486328125,0.06951904296875,17
4,0.25232,0.939453125,1.26171875,18
5,0.31387,0.339111328125,0.1746826171875,15
6,0.42792,-0.242919921875,0.004474639892578125,31
7,0.50112,-0.184814453125,0.009918212890625,20
8,0.52845,4.58203125,25.46875,9
9,0.55654,3.0546875,9.3046875,9
10,0.66377,0.160400390625,0.1473388671875,35
11,0.84998,-0.0972900390625,0.233642578125,62
12,0.88055,5.3515625,29.1875,10
13,0.92273,0.96533203125,0.86962890625,14
14,0.9706,5.66796875,32.9375,16
15,1.00891,8.53125,72.625,12
16,1.03618,7.203125,50.4375,9
17,1.09318,2.76171875,7.671875,19
18,1.12039,7.234375,52.5625,9
19,1.20775,6.56640625,45.34375,29
20,1.27706,0.488525390625,0.3466796875,23
21,1.34863,0.7041015625,0.6396484375,24
22,1.43579,6.94140625,53.03125,29
23,1.47071,7.609375,57.90625,11
24,1.4981,7.8984375,61.53125,9
25,1.53172,7.4921875,54.96875,11
26,1.59461,7.5703125,57.90625,21
27,1.62772,7.875,61.53125,11
28,1.65785,6.6875,44.09375,10
29,1.81589,8.921875,99.375,53
30,1.89406,6.91015625,49.34375,26
31,1.94951,9.8984375,99.375,18
32,1.97969,7.765625,59.34375,10
33,2.04916,13.2265625,174.375,23
34,2.09719,7.3671875,52.21875,16
35,2.19602,2.15625,5.08984375,33
36,2.22624,9.8984375,98.4375,10
37,2.31622,14.265625,209.375,30
38,2.40734,14.59375,206.0,30
39,2.4435,7.765625,57.53125,12
40,2.47728,10.9296875,117.0625,11
41,2.5049,6.1796875,37.21875,9
42,2.6031,3.89453125,16.984375,33
43,2.68408,2.828125,9.1875,27
44,2.72922,8.6015625,75.0625,15
45,2.79382,7.2421875,53.125,20
46,2.95027,18.375,387.0,52
47,2.98665,8.578125,67.9375,12
48,3.02865,8.3046875,67.3125,14
49,3.17657,8.0546875,76.4375,50
50,3.26361,11.9765625,149.5,29
51,3.6622,4.99609375,83.0,133
52,3.69025,14.8046875,218.25,9
53,3.73594,11.5,130.125,15
54,3.79246,13.484375,179.875,18
55,3.82986,12.546875,154.75,12
56,4.00639,7.96875,77.125,58
57,4.04913,14.0625,197.375,14
58,4.20115,15.5625,260.0,50
59,4.28957,17.171875,287.0,29
60,4.35606,11.0546875,119.4375,22
61,4.44272,12.46875,157.375,29
62,4.51796,17.359375,300.25,25
63,4.58914,14.1328125,193.625,24
64,4.72226,6.58984375,48.84375,45
65,4.80784,8.953125,80.1875,28
66,4.87936,11.59375,134.625,24
67,4.93142,15.15625,227.375,17
68,5.02078,9.546875,94.9375,30
69,5.15424,25.21875,654.0,45
70,5.26645,22.390625,447.0,37
71,5.32694,13.296875,166.625,20
72,5.51496,22.96875,574.0,63
73,5.56917,13.3984375,167.375,18
74,5.61435,11.5703125,131.0,15
75,5.71332,12.7265625,163.75,33
76,5.80441,10.515625,116.9375,30
77,5.94224,12.4296875,166.75,46
78,6.12075,9.578125,114.25,60
79,6.27659,19.96875,421.5,52
80,6.44938,15.515625,268.25,58
81,6.60492,25.625,666.5,52
82,6.66923,19.28125,359.75,21
83,6.69971,16.765625,275.25,10
84,6.88037,12.484375,185.875,61
85,6.95011,15.453125,236.375,23
86,6.98685,16.953125,279.5,12
87,7.04513,15.625,234.5,19
88,7.08589,15.203125,224.25,13
89,7.1608,15.5,233.5,24
90,7.19842,15.640625,236.875,12
91,7.30505,11.6640625,134.375,35
92,7.487,15.5234375,264.0,61
93,7.52311,13.921875,193.0,12
94,7.56817,15.078125,222.625,15
95,7.8027,16.21875,342.75,78
96,7.97473,16.984375,298.75,58
97,8.03757,15.6875,242.625,21
98,8.28178,17.328125,371.75,82
99,8.37229,18.65625,344.0,29
100,8.84236,22.5,493.75,36
101,8.87937,17.78125,292.25,12
102,8.97795,15.3125,221.25,33
103,9.0081,16.9375,278.0,10
104,9.29976,15.78125,325.75,99
105,9.46148,19.359375,407.0,54
106,9.59119,13.96875,181.875,43
107,9.71972,25.15625,608.5,43
108,9.85197,18.765625,316.25,45
109,9.90825,16.375,255.0,19
110,10.058,17.9375,310.75,50
111,10.23814,23.09375,522.0,61
112,10.36216,21.9375,533.5,42
113,10.40081,16.734375,272.75,13
114,10.50211,20.609375,405.75,34
115,10.61748,13.4921875,172.5,39
116,10.81188,18.0625,344.0,66
117,11.02282,20.59375,436.5,71
118,11.20775,17.109375,301.25,63
119,11.35517,20.171875,385.25,50
120,11.4755,13.734375,178.25,40
121,11.81641,22.28125,595.5,116
122,11.84628,14.9609375,209.125,10
123,11.90229,13.8046875,180.625,19
124,12.00658,16.1875,255.0,35
125,12.25319,21.640625,475.75,84
126,12.61707,26.5,847.5,124
127,12.79142,26.078125,615.5,59
128,12.93204,16.265625,256.5,48
129,13.20558,23.828125,572.5,93
130,13.33152,33.75,1016.0,43
131,13.49125,15.65625,241.75,56
132,13.65989,21.28125,427.25,58
133,13.7719,15.578125,221.75,37
134,13.79607,13.6796875,179.5,8
135,13.90281,13.890625,180.125,36
136,14.16219,12.9609375,176.625,88
137,14.2548,14.46875,200.875,30
138,14.28264,13.3671875,171.0,9
139,14.3493,12.875,153.0,22
140,14.47924,15.328125,225.0,43
141,14.53376,11.46875,123.4375,18
142,14.79058,29.390625,849.0,86
143,14.93174,15.359375,228.75,48
144,15.04674,12.75,152.75,39
145,15.21584,11.71875,132.375,57
146,15.26139,10.6640625,108.625,15
147,15.40866,12.3984375,148.875,50
148,15.46186,9.984375,93.5625,18
149,15.5837,9.8515625,92.625,41
150,15.74135,14.046875,189.875,53
151,15.77247,9.4453125,84.125,10
152,15.92654,13.953125,182.875,52
153,16.2009,29.140625,752.0,92
154,16.23404,9.1640625,79.3125,11
155,16.29106,9.484375,85.4375,19
156,16.45962,30.421875,807.0,57
157,16.56313,8.40625,67.8125,35
158,16.73887,11.8515625,136.375,58
159,16.81279,9.1796875,79.75,26
160,16.98624,8.7421875,75.0625,61
161,17.12394,9.1171875,79.875,48
162,17.18636,7.15234375,48.125,22
163,17.22674,7.3671875,51.4375,14
164,17.52013,8.671875,92.5,104
165,17.65627,11.140625,115.75,48
166,17.71036,10.4609375,104.25,19
167,17.75105,9.1640625,81.5625,14
168,17.86157,7.96875,59.46875,39
169,18.1019,10.7578125,117.9375,84
170,18.24365,7.921875,57.3125,49
171,18.30075,6.85546875,43.0625,20
